Paremata,p a - ɾ e - m a - t a
Pākehā,p a: - k e - h a:
Pānui,p a: - n u - i
Pāremata,p a: - ɾ e - m a - t a
Pepuere,p e - p u - e - ɾ e
Pērā,p e: - ɾ a:
Piki,p i - k i
Pipiri,p i - p i - ɾ i
Poi,p oi
Poneke,p o - n e - k e
Pōneke,p o: - n e - k e
Pukapuka,p u - k a - p u - k a
Pupuri,p u - p u - ɾ i
Puri,p u - ɾ i
pae,p ae
paepae,p ae - p ae
pai,p ai
paopao,p ao - p ao
paha,p a - h a
pahure,p a - h u - ɾ e
pakaru,p a - k a - ɾ u
pakanga,p a - k a - ŋ a
pakeha,p a - k e - h a
pakeke,p a - k e - k e
paku,p a - k u
pana,p a - n a
panaia,p a - n ai - a
panui,p a - n u - i
papai,p a - p ai
parāoa,p a - ɾ a:o - a
pare,p a - ɾ e
paremata,p a - ɾ e - m a - t a
patua,p a - t u - a
pā,p a:
pānui,p a: - n u - i
pātai,p a: - t ai
pātata,p a: - t a - t a
pānga,p a: - ŋ a
pāngarau,p a: - ŋ a - ɾ au
peia,p ei - a
peka,p e - k a
penei,p e - n ei
pepeha,p e - p e - h a
pera,p e - ɾ a
pēnā,p e: - n a:
pēnei,p e: - n ei
pērā,p e: - ɾ a:
piki,p i - k i
piri,p i - ɾ i
pirihimana,p i - ɾ i - h i - m a - n a
pito,p i - t o
poi,p oi
poua,p ou - a
pouaka,p ou - a - k a
pounamu,p ou - n a - m u
pono,p o - n o
pononga,p o - n o - ŋ a
poti,p o - t i
pukapuka,p u - k a - p u - k a
puke,p u - k e
puna,p u - n a
puri,p u - ɾ i
puta,p u - t a
putanga,p u - t a - ŋ a
putu,p u - t u
pū,p u:
pūmau,p u: - m au
Rau,ɾ au
Rautau,ɾ au - t au
Rahi,ɾ a - h i
Rakiura,ɾ a - k i - u - ɾ a
Rapa,ɾ a - p a
Rarotonga,ɾ a - ɾ o - t o - ŋ a
Raru,ɾ a - ɾ u
Rangahau,ɾ a - ŋ a - h au
Rangatira,ɾ a - ŋ a - t i - ɾ a
Rangatiratanga,ɾ a - ŋ a - t i - ɾ a - t a - ŋ a
Rangi,ɾ a - ŋ i
Ranginui,ɾ a - ŋ i - n u - i
Rā,ɾ a:
Rāhoroi,ɾ a: - h o - ɾ oi
Rārangi,ɾ a: - ɾ a - ŋ i
Reo,ɾ e - o
Rehua,ɾ e - h u - a
Rino,ɾ i - n o
Rotorua,ɾ o - t o - ɾ u - a
Rongorongo,ɾ o - ŋ o - ɾ o - ŋ o
Rōpū,ɾ o: - p u:
Runa,ɾ u - n a
Runga,ɾ u - ŋ a
